,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,dominant_topic
Doc2720,0.27,0.03,0.03,0.03,0.52,0.03,0.03,0.03,0.03,0.03,4
Doc2721,0.29,0.18,0.01,0.01,0.01,0.01,0.08,0.08,0.01,0.34,9
Doc2722,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc2723,0.02,0.62,0.02,0.02,0.22,0.02,0.02,0.02,0.02,0.02,1
Doc2724,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc2725,0.18,0.02,0.35,0.02,0.02,0.02,0.18,0.18,0.02,0.02,2
Doc2726,0.16,0.01,0.01,0.01,0.57,0.18,0.01,0.01,0.01,0.01,4
Doc2727,0.37,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc2728,0.01,0.29,0.13,0.01,0.01,0.01,0.01,0.01,0.11,0.41,9
Doc2729,0.03,0.03,0.37,0.03,0.03,0.03,0.37,0.03,0.03,0.03,2
Doc2730,0.01,0.1,0.1,0.01,0.01,0.01,0.12,0.28,0.1,0.26,7
Doc2731,0.1,0.1,0.01,0.1,0.15,0.01,0.31,0.01,0.1,0.11,6
Doc2732,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.42,0.22,8
Doc2733,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc2734,0.01,0.14,0.01,0.01,0.64,0.01,0.14,0.01,0.01,0.01,4
Doc2735,0.03,0.37,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc2736,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,7
Doc2737,0.09,0.16,0.1,0.01,0.01,0.19,0.22,0.1,0.01,0.11,6
Doc2738,0.02,0.02,0.02,0.02,0.02,0.02,0.42,0.02,0.02,0.42,6
Doc2739,0.01,0.01,0.12,0.01,0.01,0.01,0.12,0.01,0.46,0.23,8
Doc2740,0.01,0.01,0.01,0.01,0.29,0.01,0.11,0.11,0.11,0.33,9
Doc2741,0.02,0.02,0.02,0.02,0.22,0.02,0.22,0.22,0.22,0.02,4
Doc2742,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.22,0.62,9
Doc2743,0.18,0.02,0.52,0.02,0.02,0.18,0.02,0.02,0.02,0.02,2
Doc2744,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc2745,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
Doc2746,0.01,0.13,0.01,0.01,0.01,0.01,0.41,0.26,0.01,0.13,6
Doc2747,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc2748,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,3
Doc2749,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.37,0.03,3
Doc2750,0.03,0.37,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc2751,0.01,0.71,0.01,0.01,0.21,0.01,0.01,0.01,0.01,0.01,1
Doc2752,0.01,0.3,0.01,0.44,0.01,0.01,0.16,0.01,0.01,0.01,3
Doc2753,0.09,0.12,0.01,0.01,0.39,0.1,0.18,0.01,0.09,0.01,4
Doc2754,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
Doc2755,0.03,0.03,0.03,0.32,0.03,0.03,0.48,0.03,0.03,0.03,6
Doc2756,0.01,0.3,0.01,0.27,0.01,0.01,0.01,0.01,0.18,0.16,1
Doc2757,0.18,0.01,0.01,0.01,0.01,0.01,0.23,0.23,0.01,0.3,9
Doc2758,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc2759,0.18,0.55,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.11,1
Doc2760,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
Doc2761,0.26,0.01,0.14,0.01,0.01,0.14,0.14,0.14,0.01,0.14,0
Doc2762,0.02,0.02,0.02,0.02,0.39,0.2,0.29,0.02,0.02,0.02,4
Doc2763,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,9
Doc2764,0.32,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.52,0.02,8
Doc2765,0.01,0.14,0.01,0.01,0.01,0.15,0.01,0.32,0.01,0.31,7
Doc2766,0.52,0.18,0.02,0.02,0.02,0.18,0.02,0.02,0.02,0.02,0
Doc2767,0.28,0.02,0.26,0.02,0.02,0.02,0.02,0.02,0.02,0.32,9
Doc2768,0.01,0.01,0.16,0.01,0.3,0.3,0.01,0.01,0.01,0.16,4
Doc2769,0.18,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.52,0.18,8
Doc2770,0.01,0.01,0.01,0.01,0.51,0.01,0.38,0.01,0.01,0.01,4
Doc2771,0.01,0.01,0.16,0.16,0.01,0.01,0.16,0.01,0.01,0.44,9
Doc2772,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,8
Doc2773,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,4
Doc2774,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.37,8
Doc2775,0.37,0.01,0.01,0.21,0.17,0.01,0.01,0.16,0.01,0.01,0
Doc2776,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.28,0.52,9
Doc2777,0.03,0.03,0.35,0.03,0.45,0.03,0.03,0.03,0.03,0.03,4
Doc2778,0.08,0.01,0.11,0.01,0.28,0.01,0.24,0.1,0.16,0.01,4
Doc2779,0.11,0.01,0.01,0.01,0.11,0.31,0.11,0.01,0.31,0.01,5
Doc2780,0.26,0.01,0.01,0.16,0.01,0.01,0.01,0.34,0.01,0.17,7
Doc2781,0.01,0.16,0.01,0.16,0.01,0.01,0.3,0.01,0.01,0.3,6
Doc2782,0.37,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc2783,0.03,0.37,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc2784,0.01,0.29,0.12,0.21,0.1,0.01,0.01,0.01,0.01,0.23,1
Doc2785,0.01,0.01,0.17,0.17,0.55,0.01,0.01,0.01,0.01,0.01,4
Doc2786,0.14,0.26,0.26,0.01,0.01,0.01,0.01,0.01,0.26,0.01,1
Doc2787,0.3,0.01,0.01,0.19,0.22,0.01,0.01,0.01,0.01,0.2,0
Doc2788,0.02,0.02,0.2,0.25,0.02,0.43,0.02,0.02,0.02,0.02,5
Doc2789,0.53,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0
Doc2790,0.02,0.02,0.2,0.48,0.2,0.02,0.02,0.02,0.02,0.02,3
Doc2791,0.14,0.14,0.14,0.01,0.26,0.14,0.14,0.01,0.01,0.01,4
Doc2792,0.23,0.01,0.01,0.2,0.01,0.23,0.01,0.01,0.26,0.01,8
Doc2793,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0.62,0.02,0.02,7
Doc2794,0.42,0.02,0.02,0.02,0.02,0.02,0.42,0.02,0.02,0.02,0
Doc2795,0.02,0.22,0.02,0.02,0.42,0.02,0.02,0.22,0.02,0.02,4
Doc2796,0.02,0.32,0.02,0.02,0.02,0.21,0.02,0.35,0.02,0.02,7
Doc2797,0.03,0.03,0.03,0.03,0.37,0.37,0.03,0.03,0.03,0.03,4
Doc2798,0.01,0.14,0.27,0.01,0.01,0.12,0.29,0.01,0.12,0.01,6
Doc2799,0.36,0.01,0.01,0.01,0.34,0.01,0.11,0.01,0.01,0.13,0
Doc2800,0.02,0.02,0.02,0.02,0.18,0.02,0.18,0.52,0.02,0.02,7
Doc2801,0.02,0.22,0.02,0.02,0.22,0.02,0.02,0.42,0.02,0.02,7
Doc2802,0.03,0.03,0.03,0.28,0.03,0.03,0.03,0.03,0.03,0.52,9
Doc2803,0.02,0.25,0.02,0.02,0.02,0.02,0.59,0.02,0.02,0.02,6
Doc2804,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc2805,0.01,0.23,0.01,0.14,0.14,0.01,0.01,0.14,0.01,0.3,9
Doc2806,0.14,0.14,0.01,0.16,0.24,0.01,0.01,0.14,0.14,0.01,4
Doc2807,0.18,0.02,0.02,0.02,0.18,0.18,0.02,0.18,0.18,0.02,0
Doc2808,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.53,0.27,8
Doc2809,0.03,0.03,0.03,0.03,0.33,0.03,0.03,0.03,0.03,0.47,9
Doc2810,0.14,0.01,0.14,0.14,0.01,0.14,0.14,0.26,0.01,0.01,7
Doc2811,0.22,0.02,0.22,0.22,0.02,0.02,0.22,0.02,0.02,0.02,0
Doc2812,0.02,0.22,0.02,0.02,0.02,0.18,0.02,0.02,0.18,0.31,9
Doc2813,0.01,0.26,0.01,0.01,0.01,0.01,0.14,0.14,0.14,0.26,1
Doc2814,0.03,0.28,0.03,0.03,0.03,0.03,0.52,0.03,0.03,0.03,6
Doc2815,0.03,0.37,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,1
Doc2816,0.27,0.03,0.03,0.03,0.03,0.03,0.03,0.52,0.03,0.03,7
Doc2817,0.53,0.03,0.27,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc2818,0.01,0.14,0.16,0.01,0.01,0.01,0.18,0.45,0.01,0.01,7
Doc2819,0.37,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc2820,0.42,0.02,0.02,0.02,0.42,0.02,0.02,0.02,0.02,0.02,0
Doc2821,0.01,0.01,0.01,0.01,0.01,0.01,0.21,0.21,0.41,0.11,8
Doc2822,0.42,0.02,0.02,0.02,0.02,0.02,0.22,0.02,0.22,0.02,0
Doc2823,0.01,0.17,0.2,0.01,0.14,0.17,0.01,0.01,0.26,0.01,8
Doc2824,0.02,0.02,0.25,0.02,0.02,0.02,0.39,0.02,0.22,0.02,6
Doc2825,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc2826,0.02,0.22,0.02,0.02,0.42,0.02,0.22,0.02,0.02,0.02,4
Doc2827,0.02,0.02,0.35,0.35,0.02,0.02,0.02,0.02,0.18,0.02,2
Doc2828,0.21,0.21,0.11,0.01,0.01,0.01,0.01,0.01,0.21,0.21,0
Doc2829,0.02,0.68,0.02,0.02,0.02,0.02,0.02,0.18,0.02,0.02,1
Doc2830,0.23,0.01,0.01,0.34,0.23,0.12,0.01,0.01,0.01,0.01,3
Doc2831,0.1,0.1,0.01,0.21,0.42,0.01,0.13,0.01,0.01,0.01,4
Doc2832,0.16,0.3,0.3,0.16,0.01,0.01,0.01,0.01,0.01,0.01,1
Doc2833,0.28,0.03,0.03,0.03,0.03,0.52,0.03,0.03,0.03,0.03,5
Doc2834,0.01,0.11,0.24,0.48,0.01,0.01,0.01,0.01,0.11,0.01,3
Doc2835,0.03,0.03,0.52,0.28,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc2836,0.03,0.27,0.03,0.03,0.03,0.28,0.03,0.28,0.03,0.03,5
Doc2837,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,6
Doc2838,0.27,0.27,0.03,0.03,0.27,0.03,0.03,0.03,0.03,0.03,0
Doc2839,0.02,0.02,0.22,0.02,0.22,0.02,0.02,0.02,0.02,0.42,9
Doc2840,0.01,0.01,0.01,0.12,0.49,0.01,0.22,0.11,0.01,0.01,4
Doc2841,0.34,0.22,0.01,0.18,0.01,0.01,0.01,0.01,0.01,0.18,0
Doc2842,0.23,0.12,0.14,0.01,0.15,0.01,0.01,0.01,0.01,0.3,9
Doc2843,0.02,0.02,0.02,0.02,0.2,0.02,0.66,0.02,0.02,0.02,6
Doc2844,0.18,0.02,0.02,0.02,0.18,0.02,0.35,0.02,0.18,0.02,6
Doc2845,0.02,0.02,0.02,0.02,0.02,0.02,0.62,0.02,0.22,0.02,6
Doc2846,0.01,0.21,0.01,0.12,0.25,0.01,0.01,0.12,0.01,0.24,4
Doc2847,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.34,0.1,0.41,9
Doc2848,0.16,0.01,0.17,0.01,0.01,0.17,0.42,0.01,0.01,0.01,6
Doc2849,0.14,0.01,0.29,0.01,0.29,0.01,0.21,0.01,0.01,0.01,2
Doc2850,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,6
Doc2851,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,7
Doc2852,0.02,0.02,0.22,0.02,0.02,0.02,0.22,0.02,0.22,0.22,2
Doc2853,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.37,7
Doc2854,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.43,0.03,0.03,7
Doc2855,0.03,0.27,0.03,0.03,0.03,0.27,0.03,0.03,0.28,0.03,8
Doc2856,0.02,0.02,0.02,0.02,0.22,0.22,0.02,0.22,0.22,0.02,4
Doc2857,0.22,0.12,0.01,0.14,0.01,0.01,0.12,0.12,0.23,0.01,8
Doc2858,0.01,0.01,0.11,0.12,0.01,0.01,0.2,0.1,0.11,0.33,9
Doc2859,0.01,0.01,0.55,0.19,0.01,0.01,0.01,0.01,0.16,0.01,2
Doc2860,0.44,0.01,0.01,0.3,0.16,0.01,0.01,0.01,0.01,0.01,0
Doc2861,0.03,0.27,0.03,0.03,0.03,0.03,0.03,0.28,0.03,0.28,7
Doc2862,0.3,0.3,0.01,0.01,0.01,0.01,0.01,0.16,0.16,0.01,0
Doc2863,0.03,0.03,0.03,0.32,0.03,0.03,0.48,0.03,0.03,0.03,6
Doc2864,0.01,0.01,0.01,0.01,0.01,0.36,0.01,0.01,0.16,0.38,9
Doc2865,0.01,0.01,0.1,0.29,0.37,0.01,0.01,0.01,0.19,0.01,4
Doc2866,0.03,0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.5,0.03,8
Doc2867,0.01,0.43,0.01,0.16,0.16,0.01,0.01,0.01,0.01,0.17,1
Doc2868,0.23,0.02,0.02,0.02,0.02,0.02,0.02,0.31,0.35,0.02,8
Doc2869,0.21,0.01,0.31,0.11,0.01,0.01,0.21,0.01,0.01,0.11,2
Doc2870,0.22,0.02,0.02,0.02,0.42,0.02,0.22,0.02,0.02,0.02,4
Doc2871,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
Doc2872,0.11,0.3,0.01,0.24,0.01,0.01,0.19,0.01,0.01,0.11,1
Doc2873,0.01,0.01,0.01,0.01,0.01,0.15,0.5,0.01,0.26,0.01,6
Doc2874,0.01,0.21,0.01,0.11,0.11,0.31,0.01,0.21,0.01,0.01,5
Doc2875,0.3,0.11,0.01,0.01,0.01,0.11,0.01,0.11,0.21,0.12,0
Doc2876,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc2877,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,7
Doc2878,0.27,0.27,0.03,0.03,0.03,0.27,0.03,0.03,0.03,0.03,0
Doc2879,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
Doc2880,0.03,0.28,0.03,0.03,0.03,0.03,0.27,0.03,0.27,0.03,1
Doc2881,0.02,0.02,0.02,0.02,0.02,0.18,0.02,0.02,0.68,0.02,8
Doc2882,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc2883,0.01,0.01,0.01,0.18,0.19,0.53,0.01,0.01,0.01,0.01,5
Doc2884,0.03,0.03,0.28,0.03,0.27,0.03,0.28,0.03,0.03,0.03,2
Doc2885,0.02,0.02,0.02,0.02,0.02,0.02,0.42,0.02,0.02,0.42,6
Doc2886,0.11,0.21,0.01,0.01,0.01,0.01,0.27,0.01,0.01,0.35,9
Doc2887,0.03,0.03,0.03,0.03,0.03,0.03,0.46,0.34,0.03,0.03,6
Doc2888,0.16,0.16,0.16,0.01,0.01,0.01,0.3,0.16,0.01,0.01,6
Doc2889,0.18,0.02,0.18,0.18,0.18,0.02,0.18,0.02,0.02,0.02,0
Doc2890,0.02,0.02,0.02,0.02,0.42,0.02,0.22,0.22,0.02,0.02,4
Doc2891,0.19,0.01,0.01,0.01,0.18,0.19,0.16,0.01,0.01,0.21,9
Doc2892,0.52,0.02,0.02,0.02,0.18,0.18,0.02,0.02,0.02,0.02,0
Doc2893,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,4
Doc2894,0.01,0.16,0.01,0.01,0.59,0.16,0.01,0.01,0.01,0.01,4
Doc2895,0.21,0.01,0.01,0.11,0.01,0.11,0.41,0.01,0.01,0.11,6
Doc2896,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.37,0.03,7
Doc2897,0.03,0.03,0.28,0.03,0.03,0.03,0.03,0.27,0.28,0.03,2
Doc2898,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
Doc2899,0.01,0.16,0.01,0.01,0.3,0.16,0.01,0.16,0.16,0.01,4
Doc2900,0.01,0.3,0.01,0.18,0.01,0.01,0.25,0.01,0.01,0.19,1
Doc2901,0.03,0.47,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.33,1
Doc2902,0.3,0.01,0.01,0.01,0.3,0.16,0.01,0.01,0.01,0.16,0
Doc2903,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc2904,0.01,0.16,0.19,0.2,0.23,0.01,0.01,0.01,0.16,0.01,4
Doc2905,0.28,0.03,0.03,0.03,0.27,0.03,0.03,0.03,0.27,0.03,0
Doc2906,0.01,0.01,0.44,0.21,0.01,0.01,0.01,0.01,0.26,0.01,2
Doc2907,0.01,0.01,0.01,0.17,0.01,0.01,0.01,0.54,0.01,0.18,7
Doc2908,0.01,0.01,0.01,0.01,0.01,0.13,0.32,0.01,0.34,0.14,8
Doc2909,0.03,0.03,0.03,0.03,0.37,0.03,0.37,0.03,0.03,0.03,4
Doc2910,0.41,0.01,0.01,0.01,0.13,0.14,0.01,0.01,0.25,0.01,0
Doc2911,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc2912,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
Doc2913,0.03,0.03,0.03,0.27,0.28,0.03,0.03,0.03,0.28,0.03,4
Doc2914,0.02,0.22,0.02,0.02,0.02,0.22,0.02,0.22,0.22,0.02,1
Doc2915,0.03,0.03,0.03,0.03,0.03,0.52,0.03,0.03,0.27,0.03,5
Doc2916,0.23,0.12,0.01,0.01,0.01,0.12,0.01,0.01,0.46,0.01,8
Doc2917,0.02,0.02,0.52,0.02,0.02,0.18,0.02,0.18,0.02,0.02,2
Doc2918,0.01,0.3,0.01,0.01,0.01,0.3,0.01,0.3,0.01,0.01,1
Doc2919,0.37,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0
Doc2920,0.02,0.02,0.02,0.02,0.02,0.02,0.32,0.52,0.02,0.02,7
Doc2921,0.03,0.53,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,1
Doc2922,0.01,0.01,0.35,0.19,0.12,0.01,0.01,0.19,0.1,0.01,2
Doc2923,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc2924,0.01,0.29,0.01,0.01,0.01,0.01,0.3,0.16,0.17,0.01,6
Doc2925,0.14,0.01,0.01,0.16,0.01,0.16,0.01,0.01,0.14,0.34,9
Doc2926,0.16,0.01,0.01,0.16,0.23,0.24,0.01,0.01,0.08,0.09,5
Doc2927,0.14,0.01,0.3,0.16,0.01,0.01,0.01,0.33,0.01,0.01,7
Doc2928,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,5
Doc2929,0.02,0.49,0.18,0.02,0.02,0.02,0.02,0.02,0.02,0.21,1
Doc2930,0.01,0.36,0.01,0.01,0.01,0.29,0.22,0.08,0.01,0.01,1
Doc2931,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.03,0.52,9
Doc2932,0.01,0.01,0.01,0.17,0.18,0.01,0.21,0.01,0.01,0.35,9
Doc2933,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc2934,0.21,0.29,0.02,0.23,0.02,0.02,0.02,0.18,0.02,0.02,1
Doc2935,0.02,0.02,0.02,0.25,0.02,0.26,0.35,0.02,0.02,0.02,6
Doc2936,0.27,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.52,0.03,8
Doc2937,0.01,0.31,0.01,0.01,0.21,0.21,0.01,0.01,0.21,0.01,1
Doc2938,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc2939,0.1,0.01,0.01,0.21,0.11,0.01,0.3,0.11,0.14,0.01,6
Doc2940,0.18,0.02,0.02,0.18,0.18,0.02,0.18,0.02,0.18,0.02,0
Doc2941,0.01,0.01,0.08,0.09,0.01,0.47,0.07,0.01,0.01,0.25,5
Doc2942,0.01,0.23,0.01,0.12,0.12,0.01,0.12,0.23,0.12,0.01,1
Doc2943,0.58,0.01,0.01,0.01,0.01,0.16,0.16,0.01,0.01,0.01,0
Doc2944,0.11,0.01,0.48,0.19,0.01,0.01,0.01,0.01,0.16,0.01,2
Doc2945,0.02,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.62,9
Doc2946,0.01,0.3,0.16,0.01,0.16,0.16,0.01,0.01,0.16,0.01,1
Doc2947,0.28,0.27,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.03,0
Doc2948,0.22,0.42,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
Doc2949,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.27,0.28,0.03,8
Doc2950,0.1,0.36,0.01,0.1,0.01,0.01,0.01,0.01,0.19,0.2,1
Doc2951,0.08,0.31,0.01,0.18,0.19,0.01,0.01,0.1,0.01,0.1,1
Doc2952,0.52,0.02,0.02,0.02,0.02,0.35,0.02,0.02,0.02,0.02,0
Doc2953,0.02,0.02,0.18,0.02,0.02,0.02,0.18,0.02,0.35,0.18,8
Doc2954,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.37,0.03,6
Doc2955,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.37,0.03,4
Doc2956,0.3,0.3,0.01,0.01,0.01,0.01,0.01,0.3,0.01,0.01,0
Doc2957,0.01,0.23,0.01,0.01,0.32,0.01,0.1,0.01,0.07,0.24,4
Doc2958,0.02,0.02,0.26,0.28,0.02,0.02,0.02,0.35,0.02,0.02,7
Doc2959,0.01,0.01,0.01,0.24,0.01,0.01,0.16,0.3,0.01,0.22,7
Doc2960,0.19,0.1,0.01,0.01,0.01,0.01,0.01,0.55,0.01,0.1,7
Doc2961,0.08,0.01,0.01,0.55,0.01,0.01,0.09,0.24,0.01,0.01,3
Doc2962,0.01,0.16,0.01,0.01,0.01,0.01,0.01,0.01,0.16,0.59,9
Doc2963,0.03,0.03,0.52,0.03,0.03,0.03,0.03,0.03,0.28,0.03,2
Doc2964,0.37,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc2965,0.01,0.01,0.01,0.01,0.19,0.18,0.01,0.37,0.01,0.18,7
Doc2966,0.01,0.11,0.16,0.09,0.16,0.01,0.44,0.01,0.01,0.01,6
Doc2967,0.02,0.02,0.02,0.52,0.02,0.02,0.18,0.18,0.02,0.02,3
Doc2968,0.37,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0
Doc2969,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.37,0.03,0.03,4
Doc2970,0.03,0.03,0.03,0.49,0.03,0.03,0.03,0.03,0.31,0.03,3
Doc2971,0.02,0.02,0.02,0.02,0.57,0.02,0.02,0.27,0.02,0.02,4
Doc2972,0.02,0.02,0.18,0.18,0.02,0.02,0.35,0.02,0.18,0.02,6
Doc2973,0.37,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc2974,0.01,0.01,0.3,0.01,0.01,0.3,0.01,0.01,0.01,0.3,2
Doc2975,0.24,0.14,0.01,0.01,0.14,0.01,0.16,0.01,0.26,0.01,8
Doc2976,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.37,0.03,0.03,6
Doc2977,0.02,0.02,0.25,0.02,0.02,0.02,0.35,0.02,0.02,0.26,6
Doc2978,0.23,0.22,0.23,0.01,0.01,0.01,0.01,0.12,0.01,0.14,0
Doc2979,0.01,0.01,0.01,0.19,0.1,0.01,0.1,0.28,0.19,0.1,7
Doc2980,0.16,0.01,0.01,0.01,0.18,0.3,0.01,0.01,0.14,0.17,5
Doc2981,0.01,0.01,0.01,0.19,0.01,0.19,0.33,0.01,0.01,0.2,6
Doc2982,0.19,0.18,0.1,0.19,0.01,0.01,0.01,0.11,0.01,0.19,0
Doc2983,0.02,0.62,0.02,0.02,0.02,0.02,0.22,0.02,0.02,0.02,1
Doc2984,0.37,0.01,0.01,0.01,0.01,0.01,0.28,0.01,0.01,0.26,0
Doc2985,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0
Doc2986,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc2987,0.16,0.16,0.01,0.01,0.01,0.19,0.01,0.01,0.01,0.41,9
Doc2988,0.01,0.01,0.21,0.21,0.01,0.31,0.01,0.11,0.11,0.01,5
Doc2989,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc2990,0.16,0.01,0.58,0.01,0.01,0.01,0.01,0.01,0.01,0.16,2
Doc2991,0.02,0.52,0.02,0.02,0.18,0.18,0.02,0.02,0.02,0.02,1
Doc2992,0.02,0.02,0.22,0.02,0.02,0.42,0.02,0.02,0.22,0.02,5
Doc2993,0.14,0.01,0.01,0.01,0.16,0.01,0.18,0.31,0.01,0.15,7
Doc2994,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
Doc2995,0.03,0.37,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc2996,0.02,0.18,0.18,0.02,0.33,0.02,0.21,0.02,0.02,0.02,4
Doc2997,0.02,0.02,0.35,0.02,0.02,0.02,0.35,0.02,0.02,0.18,2
Doc2998,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc2999,0.02,0.02,0.23,0.02,0.22,0.02,0.02,0.02,0.02,0.41,9
Doc3000,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,9
Doc3001,0.02,0.35,0.02,0.02,0.35,0.02,0.02,0.02,0.18,0.02,1
Doc3002,0.14,0.01,0.14,0.01,0.51,0.01,0.01,0.01,0.01,0.14,4
Doc3003,0.03,0.27,0.03,0.52,0.03,0.03,0.03,0.03,0.03,0.03,3
Doc3004,0.01,0.01,0.01,0.01,0.39,0.01,0.01,0.14,0.14,0.26,4
Doc3005,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,9
Doc3006,0.02,0.02,0.02,0.5,0.02,0.02,0.34,0.02,0.02,0.02,3
Doc3007,0.01,0.19,0.01,0.01,0.01,0.12,0.34,0.01,0.12,0.17,6
Doc3008,0.44,0.3,0.01,0.01,0.01,0.16,0.01,0.01,0.01,0.01,0
Doc3009,0.01,0.23,0.2,0.1,0.11,0.01,0.01,0.01,0.09,0.24,9
